kepid;kepoi_name;kepler_name;koi_disposition;koi_pdisposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_period_err1;koi_period_err2;koi_impact;koi_impact_err1;koi_impact_err2;koi_duration;koi_duration_err1;koi_duration_err2;koi_depth;koi_depth_err1;koi_depth_err2;koi_prad;koi_prad_err1;koi_prad_err2;koi_teq;koi_teq_err1;koi_teq_err2;koi_insol;koi_insol_err1;koi_insol_err2;koi_model_snr;koi_steff;koi_steff_err1;koi_steff_err2;koi_slogg;koi_slogg_err1;koi_slogg_err2;koi_srad;koi_srad_err1;koi_srad_err2;ra;dec;koi_kepmag
7025526;K01380.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;1;1.074106954;1.82E-06;-1.82E-06;122;265;-121;1.9797;0.0519;-0.0519;6.45E+01;1.60E+00;-1.60E+00;0.52;4.00E-02;-1.00E-02;1255;;;588.96;140.76;-74.51;48.5;4699;75;-84;4637;0.01;-45;676;53;-21;289.24817;42.565559;11.748
9451127;K01381.01;;FALSE POSITIVE;FALSE POSITIVE;5;0;1;0;0;5.117401517;1.48E-06;-1.48E-06;683;8;-3;4.3056;0.0151;-0.0151;6.29E+04;2.00E+02;-2.00E+02;28.41;9.19E+00;-3.08E+00;1130;;;385.51;368.3;-123.29;456.6;6161;171;-236;4454;54;-216;1053;341;-114;284.82272;46.013721;15.764
9446824;K01382.01;;FALSE POSITIVE;FALSE POSITIVE;85;0;1;0;0;4.20233673;1.90E-06;-1.90E-06;4;208;-4;3.6973;0.0213;-0.0213;4.60E+04;2.18E+02;-2.18E+02;23.53;7.71E+00;-3.31E+00;1246;;;570.87;566.99;-215.69;258.8;6185;194;-259;4396;72;-217;1094;358;-154;282.18439;46.006859;15.653
11356260;K01441.01;Kepler-851 b;CONFIRMED;CANDIDATE;986;0;0;0;0;8.50698069;3.61E-05;-3.61E-05;816;138;-559;2938;109;-109;2.96E+02;1.65E+01;-1.65E+01;1.9;5.30E-01;-2.90E-01;900;;;155.42;127.78;-57.25;20.7;5822;157;-192;4428;87;-188;986;276;-148;294.68027;49.14016;15.135
11044770;K00170.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;1;15.60865244;6.14E-05;-6.14E-05;985;159;-13;6.26;0.2;-0.2;3.11E+02;8.90E+00;-8.90E+00;6.17;9.70E-01;-2.25E+00;1419;;;958.55;470.58;-635.2;46.9;8014;221;-347;3.94;266;-114;2.43;0.38;-888;297.97922;48.553871;13.376
11600889;K01442.01;Kepler-407 b;CONFIRMED;CANDIDATE;1;0;0;0;0;0.669310092;5.87E-07;-5.87E-07;157;272;-157;1.6274;0.0254;-0.0254;1.32E+02;2.10E+00;-2.10E+00;1.13;1.60E-01;-9.00E-02;1983;;;3643.96;1449.66;-796.61;75.3;5475;109;-109;4426;76;-104;1003;137;-0.08;286.03635;49.61451;12.521
11197126;K01443.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;4.494498254;7.27E-06;-7.27E-06;1149;34.9;-322;1.9742;0.0731;-0.0731;2.48E+02;7.70E+00;-7.70E+00;62.11;1.11E+01;-1.91E+01;1667;;;1824.84;966.53;-1074.79;39.3;5117;124;-195;3578;222;-148;3403;609;-1045;295.03461;48.882172;12.786
11043167;K01444.01;Kepler-852 b;CONFIRMED;CANDIDATE;979;0;0;0;0;44.9306706;2.61E-04;-2.61E-04;481;438;-276;6539;123;-123;4.38E+02;1.48E+01;-1.48E+01;2.49;4.40E-01;-1.50E-01;565;;;24.17;11.53;-4.75;33.8;6121;97;-146;4397;32;-128;1164;207;-69;297.3916;48.560692;13.949
8612847;K01264.01;Kepler-800 b;CONFIRMED;CANDIDATE;1;0;0;0;0;14.13175309;4.46E-05;-4.46E-05;848;15;-585;4.0136;0.0822;-0.0822;1.03E+03;2.97E+01;-2.97E+01;3.02;7.60E-01;-2.50E-01;675;;;49.18;37.58;-12.66;40.1;5616;169;-169;4564;31;-168;822;207;-69;286.57483;44.7952;15.762
8552583;K01265.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;1;1.061934816;1.44E-06;-1.44E-06;1.25;699;-171;3.2551;0.0625;-0.0625;4.37E+02;7.30E+00;-7.30E+00;25.72;6.35E+00;-2.13E+00;1660;;;1789.63;1309.54;-457.73;74.5;5730;156;-173;4545;42;-168;0.87;215;-72;288.90857;44.64241;15.062
8547140;K01266.01;Kepler-801 b;CONFIRMED;CANDIDATE;1;0;0;0;0;11.41926141;2.32E-05;-2.32E-05;242;182;-242;3.9908;0.0545;-0.0545;9.16E+02;1.81E+01;-1.81E+01;1.48;1.60E-01;-2.30E-01;419;;;7.32;3.38;-2.98;58;3823;167;-184;4765;77;-56;492;54;-74;286.07523;44.664639;15.314
8519253;K01267.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;5.93821065;1.41E-05;-1.41E-05;1646;31.19;-153;2.5128;0.0954;-0.0954;5.23E+02;1.85E+01;-1.85E+01;61.63;1.72E+01;-5.73E+00;996;;;231.93;189.66;-64.85;33.6;6123;164;-200;4545;36;-204;0.85;237;-79;299.2749;44.55349;14.423
8813698;K01268.01;;CANDIDATE;CANDIDATE;996;0;0;0;0;268.9410974;4.98E-04;-4.98E-04;765;0.02;-35;5.4434;0.0914;-0.0914;9.01E+03;8.74E+01;-8.74E+01;13.57;2.30E+00;-2.31E+00;321;;;2.52;1.12;-0.87;120.4;5798;78;-78;4224;156;-104;1306;222;-222;289.88962;45.005669;14.814
8757910;K01269.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;0.655001616;3.40E-07;-3.40E-07;1121;372;-64;1.8136;0.0253;-0.0253;2.71E+02;3.20E+00;-3.20E+00;31.77;6.82E+00;-1.02E+01;3162;;;23595.49;15137.86;-13993.02;104.5;6426;173;-192;3965;266;-114;2089;449;-673;293.53415;44.971111;13.371
4074736;K01328.01;;CANDIDATE;CANDIDATE;909;0;0;0;0;80.9669561;1.21E-04;-1.21E-04;7;383;-7;2.5276;0.0483;-0.0483;4.73E+03;1.04E+02;-1.04E+02;5.04;1.03E+00;-3.70E-01;364;;;4.14;2.62;-0.99;52;5611;168;-168;4.61;0.04;-128;737;151;-54;295.80585;39.17799;15.671
4072526;K01329.01;Kepler-819 b;CONFIRMED;CANDIDATE;995;0;0;0;0;33.1996355;1.40E-04;-1.40E-04;17;0.44;-17;5022;116;-116;1.11E+03;3.99E+01;-3.99E+01;2.85;1.50E-01;-2.50E-01;485;;;13.09;2.39;-2.89;32.6;5102;76;-84;4463;91;-39;0.88;49;-77;295.37079;39.177212;15.03
4150539;K01330.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;1;8.65306587;2.81E-05;-2.81E-05;1222;44.23;-88;4486;146;-146;1.05E+03;2.92E+01;-2.92E+01;19.78;1.43E+00;-1.74E+00;633;;;37.94;11.13;-9.64;43;4641;139;-125;4589;54;-27;694;0.05;-61;289.7261;39.272831;15.703
4274548;K01331.01;;CANDIDATE;CANDIDATE;999;0;0;0;0;6.80082032;2.28E-05;-2.28E-05;597;86;-448;1.9883;0.0915;-0.0915;7.00E+02;3.30E+01;-3.30E+01;1.88;2.30E-01;-1.20E-01;697;;;55.83;24.87;-13.68;25.5;4805;172;-172;4633;27;-63;688;83;-45;294.50842;39.398682;15.238
4455231;K01332.01;Kepler-288 c;CONFIRMED;CANDIDATE;1;0;0;0;0;19.30581662;7.89E-05;-7.89E-05;1;419;-1;4.2902;0.0808;-0.0808;7.09E+02;2.07E+01;-2.07E+01;4;6.20E-01;-9.30E-01;815;;;104.41;43.45;-46.1;36.3;5661;85;-77;4.09;203;-87;1522;236;-353;288.91644;39.594711;15.151
8953257;K01383.01;;FALSE POSITIVE;FALSE POSITIVE;383;0;1;0;0;3.221785738;9.63E-07;-9.63E-07;777;12;-3;3.3411;0.0165;-0.0165;4.64E+04;2.41E+02;-2.41E+02;25.03;7.84E+00;-3.36E+00;1357;;;800.37;735.23;-276.02;336.4;6250;169;-206;4411;87;-203;1041;326;-0.14;291.92065;45.247028;14.601
8971432;K01384.01;;FALSE POSITIVE;FALSE POSITIVE;0;1;0;0;0;0.6243875;6.00E-08;-6.00E-08;1157;65;-0.05;1.92102;0.0026;-0.0026;3.69E+04;6.24E+01;-6.24E+01;29.45;2.05E+00;-2.05E+00;1639;;;1693.36;486.44;-411.62;628.3;5211;156;-172;4644;66;-39;618;43;-43;297.57349;45.233299;15.487
9278553;K01385.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;18.61009258;1.96E-06;-1.96E-06;1258;0.04;-174;4.98308;0.00517;-0.00517;5.08E+04;3.92E+01;-3.92E+01;55.23;1.53E+01;-5.08E+00;686;;;52.24;42.55;-14.57;1309.3;6077;164;-200;4526;46;-184;891;247;-82;290.88354;45.765869;15.84
9527915;K00165.01;Kepler-478 b;CONFIRMED;CANDIDATE;1;0;0;0;0;13.22175358;1.34E-05;-1.34E-05;451;7;-445;2.7884;0.0322;-0.0322;8.77E+02;1.10E+01;-1.10E+01;2.38;1.80E-01;-1.20E-01;640;;;39.56;9.88;-6.43;93.6;5211;103;-103;4556;32;-59;799;0.06;-38;292.48694;46.196209;13.938
